createAt,manageObject,M8039C6,M8039C4,M8039C5
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-414225,41,16.0,304.0
2025-05-07T01:45:00.000-03:00:00,NE-MRBTS-414225,46,,144.0
2025-05-07T02:00:00.000-03:00:00,NE-MRBTS-414225,49,,128.0
2025-05-07T02:15:00.000-03:00:00,NE-MRBTS-414225,33,32.0,528.0
2025-05-07T02:30:00.000-03:00:00,NE-MRBTS-414225,36,32.0,464.0
2025-05-07T02:45:00.000-03:00:00,NE-MRBTS-414225,41,16.0,256.0
2025-05-07T03:00:00.000-03:00:00,NE-MRBTS-414225,24,176.0,576.0
2025-05-07T03:15:00.000-03:00:00,NE-MRBTS-414225,28,197.0,368.0
2025-05-07T03:30:00.000-03:00:00,NE-MRBTS-414225,36,16.0,368.0
2025-05-07T03:45:00.000-03:00:00,NE-MRBTS-414225,33,,624.0
2025-05-07T04:00:00.000-03:00:00,NE-MRBTS-414225,25,144.0,592.0
2025-05-07T04:15:00.000-03:00:00,NE-MRBTS-414225,32,112.0,384.0
2025-05-07T04:30:00.000-03:00:00,NE-MRBTS-414225,29,144.0,480.0
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-414225,15,496.0,336.0
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-414225,13,560.0,304.0
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-414225,22,112.0,784.0
2025-05-08T10:45:00.000-03:00:00,NE-MRBTS-414225,27,16.0,736.0
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-414225,28,160.0,400.0
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-414225,13,608.0,288.0
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-414225,23,256.0,528.0
2025-05-08T11:45:00.000-03:00:00,NE-MRBTS-414225,24,192.0,544.0
2025-05-08T12:00:00.000-03:00:00,NE-MRBTS-414225,36,32.0,336.0
2025-05-08T12:15:00.000-03:00:00,NE-MRBTS-414225,41,16.0,384.0
2025-05-08T12:30:00.000-03:00:00,NE-MRBTS-414225,41,,288.0
2025-05-08T12:45:00.000-03:00:00,NE-MRBTS-414225,31,,752.0
2025-05-08T13:00:00.000-03:00:00,NE-MRBTS-414225,32,,544.0
2025-05-08T13:15:00.000-03:00:00,NE-MRBTS-414225,34,48.0,384.0
2025-05-08T13:30:00.000-03:00:00,NE-MRBTS-414225,25,161.0,593.0
2025-05-08T13:45:00.000-03:00:00,NE-MRBTS-414225,42,64.0,281.0
2025-05-08T14:00:00.000-03:00:00,NE-MRBTS-414225,23,96.0,769.0
2025-05-08T14:15:00.000-03:00:00,NE-MRBTS-414225,22,177.0,641.0
2025-05-08T14:30:00.000-03:00:00,NE-MRBTS-414225,16,403.0,496.0
2025-05-08T14:45:00.000-03:00:00,NE-MRBTS-414225,25,32.0,800.0
2025-05-08T15:00:00.000-03:00:00,NE-MRBTS-414225,24,80.0,704.0
2025-05-08T15:15:00.000-03:00:00,NE-MRBTS-414225,18,304.0,544.0
2025-05-08T15:30:00.000-03:00:00,NE-MRBTS-414225,26,128.0,560.0
2025-05-08T15:45:00.000-03:00:00,NE-MRBTS-414225,30,48.0,576.0
2025-05-08T16:00:00.000-03:00:00,NE-MRBTS-414225,45,,96.0
2025-05-08T16:15:00.000-03:00:00,NE-MRBTS-414225,53,,
2025-05-08T16:30:00.000-03:00:00,NE-MRBTS-414225,40,16.0,320.0
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,117,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,120,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,119,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,116,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,118,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,114,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,119,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,118,,
