createAt,manageObject,M8029C207,M8029C209,M8029C210,M8029C211,M8029C31,M8029C32,M8029C186,M8029C187,M8029C188,M8029C189,M8029C190,M8029C191,M8029C192,M8029C193,M8029C194,M8029C196,M8029C198,M8029C199,M8029C200,M8029C201,M8029C202,M8029C203,M8029C204,M8029C205,M8029C224,M8029C195,M8029C197,M8029C208
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-660701,18.0,78.0,413.0,100,33.0,183.0,2606.0,1453.0,799.0,374.0,675.0,266.0,156.0,62.0,2.0,2.0,1925.0,1188.0,641.0,309.0,663.0,249.0,150.0,62.0,90000,2.0,2.0,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-660701,22.0,70.0,534.0,100,49.0,185.0,3502.0,4807.0,4538.0,2884.0,376.0,505.0,534.0,344.0,2.0,1.0,3123.0,4281.0,3991.0,2534.0,370.0,503.0,534.0,343.0,90000,6.0,1.0,
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-660701,21.0,98.0,460.0,100,45.0,245.0,1359.0,1604.0,1685.0,1491.0,164.0,133.0,131.0,122.0,,1.0,1192.0,1465.0,1549.0,1366.0,158.0,131.0,130.0,118.0,90000,1.0,2.0,
2025-05-07T13:45:00.000-04:00:00,NE-MRBTS-660701,22.0,70.0,567.0,100,54.0,213.0,2291.0,2607.0,2085.0,1493.0,294.0,204.0,177.0,178.0,3.0,3.0,1998.0,2384.0,1892.0,1307.0,271.0,204.0,172.0,177.0,90000,5.0,2.0,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-660701,12.0,88.0,524.0,100,33.0,225.0,1143.0,1366.0,1384.0,1138.0,161.0,89.0,82.0,66.0,1.0,2.0,978.0,1277.0,1294.0,1067.0,156.0,87.0,78.0,66.0,90000,,1.0,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-660701,23.0,95.0,273.0,100,55.0,237.0,2153.0,2669.0,2118.0,1946.0,126.0,147.0,64.0,79.0,5.0,2.0,1970.0,2478.0,2023.0,1842.0,117.0,128.0,61.0,78.0,90000,4.0,,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-660701,24.0,98.0,886.0,100,43.0,206.0,2008.0,1518.0,1240.0,1063.0,145.0,97.0,89.0,85.0,2.0,3.0,1841.0,1390.0,1121.0,968.0,138.0,86.0,82.0,82.0,90000,2.0,1.0,
2025-05-07T14:45:00.000-04:00:00,NE-MRBTS-660701,20.0,73.0,655.0,100,29.0,187.0,765.0,700.0,635.0,515.0,153.0,84.0,99.0,77.0,3.0,1.0,600.0,611.0,533.0,438.0,147.0,79.0,93.0,71.0,90000,1.0,,
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-660701,20.0,101.0,1004.0,100,61.0,275.0,663.0,741.0,811.0,777.0,109.0,56.0,51.0,53.0,1.0,3.0,550.0,672.0,748.0,720.0,106.0,51.0,50.0,52.0,90000,5.0,1.0,
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-660701,19.0,84.0,1427.0,100,50.0,207.0,252.0,333.0,288.0,212.0,38.0,47.0,52.0,31.0,,1.0,214.0,286.0,233.0,181.0,35.0,43.0,43.0,30.0,90000,,,
