createAt,manageObject,M8072C0,M8072C5,M8072C7,M8072C10,M8072C11,M8072C12,M8072C34,M8072C8,M8072C2,M8072C4,M8072C13
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690513,3,,,3,3.0,,129.0,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,125.0,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,127.0,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690513,2,,,2,2.0,,124.0,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,134.0,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,120.0,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,124.0,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,120.0,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690513,3,,,3,2.0,1.0,136.0,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690513,5,,,5,5.0,,133.0,,,,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-690513,5,,,5,5.0,,184.0,,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690513,3,1.0,,3,2.0,,123.0,,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,126.0,,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,127.0,,,,
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,406.0,,,,
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,127.0,,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,131.0,,,,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690513,2,,,2,2.0,,124.0,,,,
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,129.0,,,,
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,126.0,,,,
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,122.0,,,,
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-690513,1,,,1,1.0,,118.0,,,,
